user_id,past_studies,recommended_topics
1,"data structures, algorithms, calculus","machine learning, artificial intelligence"
2,"programming, HTML, CSS","web development, JavaScript"
3,"linear algebra, Python programming","computer vision, deep learning"
4,"network protocols, security fundamentals","cybersecurity, network architecture"
5,"OOP, software development methodologies","software architecture, design patterns"
6,"linear regression, probability theory","data analysis, statistics"
7,"C#, game design","3D graphics, Unity"
8,"Linux, virtualization","cloud computing, DevOps"
9,"Java, Swift","mobile app development, Android, iOS"
10,"database design, query optimization","database management, SQL, NoSQL"
11,"cryptography, Ethereum","blockchain, smart contracts"
12,"Adobe XD, usability testing","UI/UX design, user research"
13,"data visualization, pivot tables","business intelligence, data warehousing"
14,"operating systems, assembly language","system programming, CPU architecture"
15,"online advertising, content marketing","digital marketing, SEO"
16,"biology, bioinformatics tools","genomics, DNA sequencing"
17,"quantum physics, quantum gates","quantum computing, quantum algorithms"
18,"network security, Kali Linux","ethical hacking, penetration testing"
19,"C++, embedded programming","embedded systems, microcontrollers"
20,"Neural network architectures, reinforcement learning theory","artificial neural networks, deep reinforcement learning"
21,"inventory management, logistics","e-commerce, supply chain management"
22,"containerization, microservices","cloud-native applications, Kubernetes"
23,"data pipelines, Hadoop, Spark","data engineering, big data"
24,"computer graphics principles, shaders","computer graphics, 3D modeling"
25,"linguistics, text preprocessing","natural language processing, text mining"
26,"financial modeling, technical analysis","finance, stock market analysis"
27,"sensor networks, control systems","cyber-physical systems, IoT security"
28,"VR hardware, game engines","virtual reality, VR gaming"
29,"spatial analysis, map design","geographic information systems, GIS, cartography"
30,"test planning, bug tracking","software testing, QA, test automation"
31,"sprint planning, user stories","agile methodology, Scrum, project management"
32,"biochemistry techniques, genetics","biochemistry, proteomics, molecular biology"
33,"process mapping, RPA tools","robotic process automation, RPA"
34,"digital logic, assembly language","computer architecture, microprocessors"
35,"instructional design, learning management systems","educational technology, e-learning"
36,"data protection laws, privacy policies","data privacy, GDPR compliance"
37,"space physics, celestial mechanics","space exploration, rocket science"
38,"AI deployment, edge algorithms","embedded AI, edge computing, IoT devices"
39,"NLP models, dialogue systems","virtual assistants, chatbots, conversational AI"
40,"control systems, sensors","mechatronics, robotics, automation control"
41,"protein structure analysis, computational biology","bioinformatics, structural bioinformatics, protein modeling"
42,"identity and access management, encryption","cloud security, AWS security, cybersecurity"
43,"music theory, sound design","music production, audio engineering, DAWs"
44,"psychological research, surveys","social psychology, behavioral economics, consumer behavior"
45,"data charts, visual analytics","data visualization, Tableau, data storytelling"
46,"quantum mechanics, quantum cryptography principles","quantum cryptography, quantum key distribution, quantum entanglement"
47,"marketing analytics, data-driven decision-making","ecommerce analytics, customer segmentation, A/B testing"
48,"IoT architecture, wireless communication","Internet of Things (IoT), sensor networks, IoT protocols"
49,"NLP techniques, machine learning in NLP","computational linguistics, sentiment analysis, text classification"
50,"crypto market analysis, decentralized finance","cryptocurrency trading, blockchain investments, DeFi"
51,"deep learning for CV, OpenCV","computer vision, object detection, image recognition"
52,"game development tools, game balance","game design, level design, game mechanics"
